الرقم,اليوم,التاريخ,الوقت,نوع المنشور,العنوان,الهدف,الستايل / النمط,الشرح
13,السبت,16/5/2026,16:00,reel,أجواء الدورة الصيفية من الداخل,تفاعلي / تسويقي,Documentary / Slow Motion,لقطات بطيئة للطلاب وهم يكتبون + يد الأستاذ وهو يشرح على السبورة + صوت قلم على ورقة + راوي صوتي قصير + إضاءة طبيعية ناعمة
14,الاثنين,18/5/2026,18:00,reel,مشاكل مألوفة عند الطلاب,يقيوست,Talk Show / Sitting,استمرار نفس الستايل
15,الأربعاء,20/5/2026,16:00,reel,قبل وبعد - طلاب اليمان,تسويقي,Dramatic / Storytelling,بناء قصة: الطالب قبل المعهد (محبط - علامات ضعيفة - حيرة) ← لحظة التحول (دخول المعهد) ← بعد المعهد (ثقة - علامات مرتفعة - ابتسامة) موسيقى درامية تتصاعد
16,الخميس,21/5/2026,19:30,carousel,كيف تذاكر بفعالية في فترة الامتحانات,تعليمي,Educational / Soft Colors,ألوان هادئة (أزرق فاتح - أبيض) + نص كبير ومقروء + أيقونات توضيحية + كل سلايد نصيحة واحدة فقط
17,الجمعة,22/5/2026,16:00,reel,تحدي معلومات عامة مع الطلاب,تفاعلي,Trendy / Fast-Paced,أسئلة سريعة (منو مؤسس المعهد؟ كم أستاذ عندنا؟ شو لون زي المعهد؟) لقطات سريعة مقصوصة + نص على الشاشة + موسيقى ترند + بالآخر نسبة الإجابات
18,السبت,23/5/2026,14:00,reel,أفضل لقطات آراء العملاء - Highlight Reel,تسويقي,Highlight Reel / Cinematic,مونتاج لأقوى 5-6 شهادات من الجزء 1 و2 + موسيقى حماسية + انتقالات احترافية + نص ملخص فوق كل لقطة (مثلاً: علامتي ارتفعت 40 درجة)
19,الاثنين,25/5/2026,14:00,post,تنويه بمواعيد مهمة (تسجيل - جلسات - إجازات),تسويقي,Minimalist / Clean,تصميم نظيف + جدول زمني واضح + ألوان المعهد فقط + بدون أي عنصر زائد
20,الأربعاء,27/5/2026,18:00,post,تهنئة وشكر جهود موظف شهر أيار,تفاعلي,Warm / Portrait,صورة بورتريه للموظف بإضاءة ناعمة + ألوان دافئة + كلمة قصيرة من الإدارة + شي شخصي عن الموظف (مثلاً: اللي بيضحكنا دايماً بالاستراحة)
21,الجمعة,29/5/2026,18:00,reel,خلاصة شهر أيار بمعهد اليمان,تفاعلي,Montage / Energetic,مونتاج سريع لأفضل 15 لقطة بالشهر (ضحك - دراسة - حفلات - موظفين) + موسيقى حماسية + آخر لقطة بطيئة فيها لوقو المعهد
22,السبت,30/5/2026,14:00,carousel,استعداد لشهر 6 + تنويهات قادمة,تسويقي,Clean / Organized,تصميم مرتب + كل سلايد فيها تنويه واحد + ألوان هادئة + شعور بنهاية مرحلة وبداية جديدة
